,layer,pos,prob
87,12,3,0.9423884749412537
88,12,4,0.02674482949078083
89,12,5,0.02749306708574295
90,12,6,0.027326399460434914
91,13,0,0.026460712775588036
92,13,1,0.025917870923876762
93,13,2,0.031508978456258774
94,13,3,0.9811789393424988
95,13,4,0.02733321487903595
96,13,5,0.027492815628647804
97,13,6,0.02718902751803398
98,14,0,0.02640325017273426
99,14,1,0.028164537623524666
100,14,2,0.028496647253632545
101,14,3,0.9807016253471375
102,14,4,0.027289966121315956
103,14,5,0.0271740909665823
104,14,6,0.02466743066906929
105,15,0,0.026361947879195213
106,15,1,0.028425440192222595
107,15,2,0.027103303000330925
108,15,3,0.9512556791305542
109,15,4,0.02854074165225029
110,15,5,0.02712608128786087
111,15,6,0.023656275123357773
112,16,0,0.026337498798966408
113,16,1,0.02918623574078083
114,16,2,0.0262234415858984
115,16,3,0.9088423848152161
116,16,4,0.028708504512906075
117,16,5,0.02738182432949543
118,16,6,0.021772600710392
119,17,0,0.026298709213733673
120,17,1,0.029229283332824707
121,17,2,0.026621244847774506
122,17,3,0.9491837620735168
123,17,4,0.028422854840755463
124,17,5,0.027216585353016853
125,17,6,0.020021772012114525
126,18,0,0.02630884200334549
127,18,1,0.031000012531876564
128,18,2,0.027261434122920036
129,18,3,0.9348375797271729
130,18,4,0.027633043006062508
131,18,5,0.026644675061106682
132,18,6,0.02051646076142788
133,19,0,0.026277506723999977
134,19,1,0.03079507313668728
135,19,2,0.025859110057353973
136,19,3,0.8451444506645203
137,19,4,0.027978768572211266
138,19,5,0.02649599500000477
139,19,6,0.018688324838876724
140,20,0,0.02628888562321663
141,20,1,0.02752777934074402
142,20,2,0.024183789268136024
143,20,3,0.7897290587425232
144,20,4,0.028616152703762054
145,20,5,0.026055142283439636
146,20,6,0.018433185294270515
147,21,0,0.026272566989064217
148,21,1,0.02975076623260975
149,21,2,0.024681145325303078
150,21,3,0.5328171253204346
151,21,4,0.026721959933638573
152,21,5,0.025337211787700653
153,21,6,0.019459431990981102
154,22,0,0.02625001035630703
155,22,1,0.02815840020775795
156,22,2,0.02345726639032364
157,22,3,0.27367621660232544
158,22,4,0.026222240179777145
159,22,5,0.025754414498806
160,22,6,0.018262717872858047
161,23,0,0.02622777223587036
162,23,1,0.026753943413496017
163,23,2,0.025326665490865707
164,23,3,0.10214269906282425
165,23,4,0.02386368066072464
166,23,5,0.025600416585803032
167,23,6,0.019197963178157806
168,24,0,0.026208555325865746
169,24,1,0.028233110904693604
170,24,2,0.034259963780641556
171,24,3,0.059912849217653275
172,24,4,0.025392403826117516
173,24,5,0.025679584592580795
174,24,6,0.020421568304300308
175,25,0,0.026190979406237602
176,25,1,0.027458176016807556
177,25,2,0.034399379044771194
178,25,3,0.04800292104482651
179,25,4,0.024145210161805153
180,25,5,0.025023935362696648
181,25,6,0.020070431753993034
182,26,0,0.026187313720583916
183,26,1,0.028082245960831642
184,26,2,0.03175969421863556
185,26,3,0.040163297206163406
186,26,4,0.0241555068641901
187,26,5,0.0245288647711277
188,26,6,0.022799208760261536
189,27,0,0.026193583384156227
190,27,1,0.02940407395362854
191,27,2,0.028306009247899055
192,27,3,0.04086828604340553
193,27,4,0.02449306659400463
194,27,5,0.025080222636461258
195,27,6,0.02676883153617382
196,28,0,0.02617182955145836
197,28,1,0.02935412898659706
198,28,2,0.027551481500267982
199,28,3,0.03637465834617615
200,28,4,0.02574114501476288
201,28,5,0.02546674571931362
202,28,6,0.028499700129032135
203,29,0,0.026178162544965744
204,29,1,0.02898375317454338
205,29,2,0.028930146247148514
206,29,3,0.03916722536087036
207,29,4,0.025710303336381912
208,29,5,0.02490965463221073
209,29,6,0.03158842399716377
210,30,0,0.02617168426513672
211,30,1,0.02954334020614624
212,30,2,0.03065739944577217
213,30,3,0.028632862493395805
214,30,4,0.02598625048995018
215,30,5,0.02486981637775898
216,30,6,0.03867685794830322
217,31,0,0.026149241253733635
218,31,1,0.028791110962629318
219,31,2,0.030255785211920738
220,31,3,0.027459967881441116
221,31,4,0.02628803811967373
222,31,5,0.026114007458090782
223,31,6,0.046622321009635925
224,32,0,0.026139814406633377
225,32,1,0.029057463631033897
226,32,2,0.030617043375968933
227,32,3,0.02686261758208275
228,32,4,0.026351697742938995
229,32,5,0.026315217837691307
230,32,6,0.0522342175245285
231,33,0,0.02613377384841442
232,33,1,0.029888462275266647
233,33,2,0.030705492943525314
234,33,3,0.02673925831913948
235,33,4,0.0266957338899374
236,33,5,0.026387326419353485
237,33,6,0.06290055811405182
238,34,0,0.026125608012080193
239,34,1,0.029366590082645416
240,34,2,0.028265386819839478
241,34,3,0.027221478521823883
242,34,4,0.02642097882926464
243,34,5,0.026363246142864227
244,34,6,0.0787099227309227
245,35,0,0.02611394040286541
246,35,1,0.02891789749264717
247,35,2,0.027989724650979042
248,35,3,0.026668623089790344
249,35,4,0.02624213509261608
250,35,5,0.026087546721100807
251,35,6,0.08086250722408295
252,36,0,0.026104334741830826
253,36,1,0.028644761070609093
254,36,2,0.028321245685219765
255,36,3,0.0269305557012558
256,36,4,0.025838445872068405
257,36,5,0.026307106018066406
258,36,6,0.08185967803001404
259,37,0,0.026106227189302444
260,37,1,0.028048142790794373
261,37,2,0.02704089879989624
262,37,3,0.025902481749653816
263,37,4,0.025638580322265625
264,37,5,0.02572799287736416
265,37,6,0.08628623932600021
266,38,0,0.026134828105568886
267,38,1,0.02734309807419777
268,38,2,0.02722608856856823
269,38,3,0.025991955772042274
270,38,4,0.025920085608959198
271,38,5,0.02610011212527752
272,38,6,0.06540486961603165
273,39,0,0.02617010846734047
274,39,1,0.027011919766664505
275,39,2,0.02695929817855358
276,39,3,0.02623138576745987
277,39,4,0.025944944471120834
278,39,5,0.02651209384202957
279,39,6,0.038159240037202835
280,40,0,0.02616162784397602
281,40,1,0.02743571437895298
282,40,2,0.02599017135798931
283,40,3,0.026309670880436897
284,40,4,0.025947216898202896
285,40,5,0.02610073611140251
286,40,6,0.011711505241692066
287,41,0,0.026182103902101517
288,41,1,0.027317456901073456
289,41,2,0.02596520446240902
290,41,3,0.026789400726556778
291,41,4,0.026108287274837494
292,41,5,0.026196395978331566
293,41,6,0.008242745883762836
294,42,0,0.026077287271618843
295,42,1,0.02722700871527195
296,42,2,0.025947676971554756
297,42,3,0.026629868894815445
298,42,4,0.026023734360933304
299,42,5,0.026074908673763275
300,42,6,0.003929828759282827
301,43,0,0.026086023077368736
302,43,1,0.02701350674033165
303,43,2,0.025883007794618607
304,43,3,0.026818258687853813
305,43,4,0.026143159717321396
306,43,5,0.02622913382947445
307,43,6,0.0014699058374390006
308,44,0,0.02609061449766159
309,44,1,0.026851439848542213
310,44,2,0.025821970775723457
311,44,3,0.026700565591454506
312,44,4,0.026049630716443062
313,44,5,0.026073521003127098
314,44,6,0.0011206859489902854
315,45,0,0.026107046753168106
316,45,1,0.02655637264251709
317,45,2,0.02571680210530758
318,45,3,0.026752427220344543
319,45,4,0.026164362207055092
320,45,5,0.026220083236694336
321,45,6,0.0011911935871466994
322,46,0,0.026120735332369804
323,46,1,0.026243003085255623
324,46,2,0.025803174823522568
325,46,3,0.02661518007516861
326,46,4,0.026244351640343666
327,46,5,0.026203341782093048
328,46,6,0.0013266562018543482
329,47,0,0.026119409129023552
330,47,1,0.025886481627821922
331,47,2,0.025911439210176468
332,47,3,0.026439033448696136
333,47,4,0.02628290466964245
334,47,5,0.0263343658298254
335,47,6,0.001231788075529039
