,layer,pos,prob
269,38,3,0.02800001949071884
270,38,4,0.02849126048386097
271,38,5,0.03175581991672516
272,38,6,0.6089906692504883
273,39,0,0.026209328323602676
274,39,1,0.02583986334502697
275,39,2,0.02610248699784279
276,39,3,0.027203086763620377
277,39,4,0.027842359617352486
278,39,5,0.03061697818338871
279,39,6,0.5374634265899658
280,40,0,0.02620641700923443
281,40,1,0.025852834805846214
282,40,2,0.026174113154411316
283,40,3,0.02706252783536911
284,40,4,0.027452537789940834
285,40,5,0.02975875698029995
286,40,6,0.45574548840522766
287,41,0,0.02619653008878231
288,41,1,0.026082718744874
289,41,2,0.0260964035987854
290,41,3,0.02680565044283867
291,41,4,0.027335939928889275
292,41,5,0.02897990681231022
293,41,6,0.2616105377674103
294,42,0,0.02618669904768467
295,42,1,0.02620597742497921
296,42,2,0.02615080587565899
297,42,3,0.026079462841153145
298,42,4,0.027001315727829933
299,42,5,0.027618886902928352
300,42,6,0.1497429460287094
301,43,0,0.026184314861893654
302,43,1,0.026303846389055252
303,43,2,0.026148004457354546
304,43,3,0.026218846440315247
305,43,4,0.02706504985690117
306,43,5,0.027659084647893906
307,43,6,0.14997194707393646
308,44,0,0.02617279440164566
309,44,1,0.02628542296588421
310,44,2,0.026118777692317963
311,44,3,0.026131311431527138
312,44,4,0.026958223432302475
313,44,5,0.027562038972973824
314,44,6,0.1148257851600647
315,45,0,0.026170281693339348
316,45,1,0.026305116713047028
317,45,2,0.026115290820598602
318,45,3,0.0259246863424778
319,45,4,0.026879649609327316
320,45,5,0.027386007830500603
321,45,6,0.10729870945215225
322,46,0,0.02617194503545761
323,46,1,0.026226898655295372
324,46,2,0.02614413946866989
325,46,3,0.02610139735043049
326,46,4,0.026802482083439827
327,46,5,0.027281012386083603
328,46,6,0.09054519981145859
329,47,0,0.026172522455453873
330,47,1,0.026200277730822563
331,47,2,0.026140782982110977
332,47,3,0.026209667325019836
333,47,4,0.026763861998915672
334,47,5,0.027322640642523766
335,47,6,0.09737978875637054
