,layer,pos,prob
237,33,6,0.7351605296134949
238,34,0,0.027057552710175514
239,34,1,0.03234901651740074
240,34,2,0.028148559853434563
241,34,3,0.5678122639656067
242,34,4,0.03610803186893463
243,34,5,0.054742347449064255
244,34,6,0.8040618300437927
245,35,0,0.0270451121032238
246,35,1,0.03168335556983948
247,35,2,0.02713758870959282
248,35,3,0.341504842042923
249,35,4,0.03023206815123558
250,35,5,0.03914538025856018
251,35,6,0.8913760185241699
252,36,0,0.0270967036485672
253,36,1,0.03132200241088867
254,36,2,0.027005808427929878
255,36,3,0.18969206511974335
256,36,4,0.02918538637459278
257,36,5,0.0377180390059948
258,36,6,0.9442893862724304
259,37,0,0.027038073167204857
260,37,1,0.03163261339068413
261,37,2,0.027240632101893425
262,37,3,0.18771575391292572
263,37,4,0.0291913915425539
264,37,5,0.03765461593866348
265,37,6,0.9419658184051514
266,38,0,0.026928503066301346
267,38,1,0.030494628474116325
268,38,2,0.027745306491851807
269,38,3,0.11191112548112869
270,38,4,0.029034588485956192
271,38,5,0.03743891045451164
272,38,6,0.9472045302391052
273,39,0,0.026852278038859367
274,39,1,0.02957073412835598
275,39,2,0.02745845727622509
276,39,3,0.0959930419921875
277,39,4,0.029412053525447845
278,39,5,0.038073401898145676
279,39,6,0.9487893581390381
280,40,0,0.026825031265616417
281,40,1,0.030224822461605072
282,40,2,0.02729474939405918
283,40,3,0.08936359733343124
284,40,4,0.029481561854481697
285,40,5,0.038113780319690704
286,40,6,0.952121913433075
287,41,0,0.026779338717460632
288,41,1,0.03037165477871895
289,41,2,0.027464693412184715
290,41,3,0.09011374413967133
291,41,4,0.029790952801704407
292,41,5,0.038348063826560974
293,41,6,0.9492462873458862
294,42,0,0.026789437979459763
295,42,1,0.028760889545083046
296,42,2,0.026162661612033844
297,42,3,0.029230980202555656
298,42,4,0.027977466583251953
299,42,5,0.03871398791670799
300,42,6,0.9682696461677551
301,43,0,0.026684654876589775
302,43,1,0.02792653627693653
303,43,2,0.026233389973640442
304,43,3,0.02739902213215828
305,43,4,0.0278607364743948
306,43,5,0.03619248792529106
307,43,6,0.969871997833252
308,44,0,0.02653641626238823
309,44,1,0.02824513427913189
310,44,2,0.026182051748037338
311,44,3,0.027183115482330322
312,44,4,0.0271894671022892
313,44,5,0.030570734292268753
314,44,6,0.9731923937797546
315,45,0,0.026517974212765694
316,45,1,0.028052981942892075
317,45,2,0.026004895567893982
318,45,3,0.026242561638355255
319,45,4,0.02684599533677101
320,45,5,0.027795318514108658
321,45,6,0.9750222563743591
322,46,0,0.026452910155057907
323,46,1,0.027120668441057205
324,46,2,0.0259756688028574
325,46,3,0.026432612910866737
326,46,4,0.02670709230005741
327,46,5,0.02667180821299553
328,46,6,0.9773321747779846
329,47,0,0.02617640793323517
330,47,1,0.02617640793323517
331,47,2,0.02617640793323517
332,47,3,0.02617640793323517
333,47,4,0.02617640793323517
334,47,5,0.02617640793323517
335,47,6,0.9763796925544739
